name,type,block_index,num_params,mean,std,abs_mean,skewness,kurtosis,sparsity_0.7,alpha_0.7,quant_error_0.7,weight_norm_l2,effective_rank,sensitivity_ratio,ternary_friendliness
model.layers.8.self_attn.k_proj,k_proj,8,524288,-0.000008,0.046649,0.034678,-0.0132,1.8675,0.4743,0.055753,0.499033,33.7777,184.16,1.5700,0.3191
model.layers.8.self_attn.v_proj,v_proj,8,524288,-0.000016,0.012121,0.009392,-0.0115,0.6031,0.4444,0.014396,0.465040,8.7768,198.32,,
model.layers.8.self_attn.o_proj,o_proj,8,4194304,-0.000004,0.014532,0.011390,0.0146,2.8623,0.4330,0.017140,0.459491,29.7629,200.03,,
model.layers.8.mlp.gate_proj,gate_proj,8,11534336,0.000053,0.020212,0.015974,0.0021,0.5351,0.4294,0.023900,0.449514,68.6277,202.49,,
model.layers.8.mlp.up_proj,up_proj,8,11534336,0.000005,0.017297,0.013733,0.0012,0.2515,0.4269,0.020481,0.443135,58.7344,205.84,,
model.layers.8.mlp.down_proj,down_proj,8,11534336,0.000006,0.017181,0.013620,-0.0042,1.1323,0.4280,0.020338,0.445404,58.3402,205.10,,
model.layers.9.self_attn.q_proj,q_proj,9,4194304,0.000004,0.026593,0.020246,-0.0000,1.3894,0.4549,0.031480,0.485840,54.4642,189.96,,
model.layers.9.self_attn.k_proj,k_proj,9,524288,0.000095,0.047916,0.036482,0.0055,1.1029,0.4574,0.056951,0.483247,34.6955,183.85,,
model.layers.9.self_attn.v_proj,v_proj,9,524288,0.000009,0.012157,0.009544,-0.0028,0.2748,0.4345,0.014435,0.450275,8.8031,203.07,,
model.layers.9.self_attn.o_proj,o_proj,9,4194304,0.000001,0.014961,0.011795,0.0027,0.4772,0.4317,0.017709,0.451361,30.6426,202.58,1.0020,0.5475
model.layers.9.mlp.gate_proj,gate_proj,9,11534336,0.000002,0.020653,0.016276,-0.0047,0.6262,0.4302,0.024391,0.453075,70.1252,202.72,,
model.layers.9.mlp.up_proj,up_proj,9,11534336,0.000000,0.017096,0.013567,0.0017,0.2139,0.4270,0.020239,0.443624,58.0515,205.40,,
model.layers.9.mlp.down_proj,down_proj,9,11534336,-0.000004,0.016933,0.013413,-0.0011,0.6137,0.4274,0.020027,0.446077,57.4960,204.27,,
model.layers.10.self_attn.q_proj,q_proj,10,4194304,0.000017,0.026816,0.020348,0.0002,1.6593,0.4565,0.031725,0.489081,54.9190,190.99,,
model.layers.10.self_attn.k_proj,k_proj,10,524288,-0.000013,0.049335,0.037540,-0.0104,1.0804,0.4585,0.058737,0.482111,35.7229,184.30,,
model.layers.10.self_attn.v_proj,v_proj,10,524288,-0.000015,0.012290,0.009655,-0.0017,0.3008,0.4350,0.014595,0.450815,8.8994,203.61,,
model.layers.10.self_attn.o_proj,o_proj,10,4194304,0.000006,0.014937,0.011752,0.0017,0.8905,0.4312,0.017641,0.454557,30.5932,202.52,1.0030,0.5438
model.layers.10.mlp.gate_proj,gate_proj,10,11534336,0.000022,0.020446,0.016108,-0.0008,0.5338,0.4305,0.024152,0.453110,69.4239,202.38,,
model.layers.10.mlp.up_proj,up_proj,10,11534336,0.000001,0.017435,0.013841,-0.0016,0.1847,0.4265,0.020638,0.443208,59.2038,205.68,,
model.layers.10.mlp.down_proj,down_proj,10,11534336,0.000007,0.017276,0.013681,-0.0038,0.7407,0.4276,0.020437,0.445996,58.6629,203.17,,
model.layers.11.self_attn.q_proj,q_proj,11,4194304,0.000013,0.025565,0.018778,-0.0044,2.9305,0.4747,0.030202,0.516566,52.3564,185.07,,
model.layers.11.self_attn.k_proj,k_proj,11,524288,-0.000059,0.044467,0.033158,-0.0101,1.5605,0.4734,0.053168,0.497221,32.1981,182.90,,
model.layers.11.self_attn.v_proj,v_proj,11,524288,0.000041,0.011505,0.008931,0.0028,0.5466,0.4431,0.013668,0.462677,8.3308,195.76,,
model.layers.11.self_attn.o_proj,o_proj,11,4194304,0.000002,0.014592,0.011391,0.0096,1.0930,0.4367,0.017239,0.462438,29.8860,199.12,,
model.layers.11.mlp.gate_proj,gate_proj,11,11534336,-0.000019,0.020499,0.016128,0.0018,0.6986,0.4304,0.024181,0.455383,69.6037,202.64,,
model.layers.11.mlp.up_proj,up_proj,11,11534336,-0.000008,0.017396,0.013811,-0.0023,0.1589,0.4272,0.020605,0.442979,59.0698,205.77,,
model.layers.11.mlp.down_proj,down_proj,11,11534336,-0.000005,0.017233,0.013642,-0.0002,0.4720,0.4293,0.020416,0.445921,58.5169,203.73,,
model.layers.12.self_attn.q_proj,q_proj,12,4194304,-0.000019,0.025879,0.019683,0.0010,1.4401,0.4537,0.030560,0.488057,53.0005,188.37,,
model.layers.12.self_attn.k_proj,k_proj,12,524288,-0.000100,0.046195,0.034995,0.0015,1.5474,0.4577,0.054656,0.490852,33.4495,181.17,,
model.layers.12.self_attn.v_proj,v_proj,12,524288,-0.000053,0.014429,0.011288,-0.0047,0.3401,0.4383,0.017164,0.453094,10.4480,202.00,,
model.layers.12.self_attn.o_proj,o_proj,12,4194304,-0.000004,0.015661,0.012257,-0.0038,1.0602,0.4358,0.018522,0.459179,32.0759,198.94,1.0030,0.5392
model.layers.12.mlp.gate_proj,gate_proj,12,11534336,-0.000014,0.021163,0.016514,-0.0040,1.0459,0.4363,0.024959,0.464567,71.8544,200.45,,
model.layers.12.mlp.up_proj,up_proj,12,11534336,-0.000001,0.017195,0.013619,-0.0014,0.2778,0.4291,0.020370,0.445867,58.3882,205.81,,
model.layers.12.mlp.down_proj,down_proj,12,11534336,-0.000006,0.016962,0.013407,0.0088,1.0271,0.4292,0.020068,0.448301,57.5972,203.67,,
model.layers.13.self_attn.q_proj,q_proj,13,4194304,0.000007,0.025429,0.019350,-0.0008,1.3500,0.4542,0.030069,0.486654,52.0799,192.05,,
model.layers.13.self_attn.k_proj,k_proj,13,524288,-0.000008,0.046931,0.035304,-0.0020,1.6144,0.4629,0.055600,0.496131,33.9823,181.27,,
model.layers.13.self_attn.v_proj,v_proj,13,524288,-0.000027,0.012301,0.009658,0.0040,0.3168,0.4354,0.014606,0.451691,8.9072,202.74,1.0020,0.5472
model.layers.13.self_attn.o_proj,o_proj,13,4194304,-0.000001,0.015084,0.011806,-0.0029,0.8899,0.4358,0.017836,0.459537,30.8944,199.24,,
model.layers.13.mlp.gate_proj,gate_proj,13,11534336,-0.000045,0.021074,0.016443,-0.0010,1.3069,0.4354,0.024824,0.465374,71.5512,199.13,,
model.layers.13.mlp.up_proj,up_proj,13,11534336,-0.000006,0.017398,0.013774,-0.0001,0.2971,0.4276,0.020575,0.446567,59.0790,204.97,,
model.layers.13.mlp.down_proj,down_proj,13,11534336,0.000007,0.017157,0.013559,-0.0025,0.9668,0.4298,0.020308,0.448407,58.2586,204.40,,
model.layers.14.self_attn.q_proj,q_proj,14,4194304,-0.000023,0.025604,0.019200,0.0018,2.2666,0.4629,0.030234,0.501023,52.4360,187.53,,
model.layers.14.self_attn.k_proj,k_proj,14,524288,-0.000009,0.048216,0.035784,0.0192,1.9911,0.4726,0.057225,0.507088,34.9130,178.09,,
model.layers.14.self_attn.v_proj,v_proj,14,524288,0.000014,0.013367,0.010412,0.0061,0.5867,0.4399,0.015839,0.462115,9.6786,202.23,1.0020,0.5368
model.layers.14.self_attn.o_proj,o_proj,14,4194304,-0.000007,0.015525,0.012004,-0.0082,1.9760,0.4409,0.018276,0.474575,31.7960,197.31,,
model.layers.14.mlp.gate_proj,gate_proj,14,11534336,-0.000081,0.021134,0.016487,-0.0054,1.2910,0.4371,0.024940,0.464761,71.7545,201.64,,
model.layers.14.mlp.up_proj,up_proj,14,11534336,0.000004,0.017868,0.014125,-0.0023,0.4002,0.4286,0.021129,0.448290,60.6760,205.21,,
model.layers.14.mlp.down_proj,down_proj,14,11534336,0.000002,0.017604,0.013900,-0.0018,0.9001,0.4306,0.020837,0.449634,59.7784,203.84,,
